,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Puerto Ayora,-0.7393,-90.3518,296.79,86,92,1.79,EC,1621392048
1,Bayir,37.2687,28.2167,284.44,56,1,1.28,TR,1621392050
2,Dawlatabad,36.4141,64.9053,301.84,9,0,1.22,AF,1621392051
3,Albany,42.6001,-73.9662,292.47,84,34,2.23,US,1621391965
4,Lavrentiya,65.5833,-171.0,273.05,90,35,1.88,RU,1621392055
5,Tiksi,71.6872,128.8694,272.82,97,100,4.66,RU,1621392056
6,Port Alfred,-33.5906,26.891,292.88,39,35,6.06,ZA,1621392058
7,Akureyri,65.6835,-18.0878,274.11,60,90,1.03,IS,1621392060
8,Kūstī,13.1629,32.6635,303.54,50,100,5.41,SD,1621392062
9,Khatanga,71.9667,102.5,270.38,93,100,4.64,RU,1621392063
10,Atuona,-9.8,-139.0333,299.82,77,96,7.01,PF,1621392065
11,Padang,-0.9492,100.3543,303.18,70,80,1.13,ID,1621392067
12,George Town,5.4112,100.3354,302.53,82,20,2.24,MY,1621392022
13,Rikitea,-23.1203,-134.9692,297.08,65,0,8.46,PF,1621392070
14,New Norfolk,-42.7826,147.0587,288.87,58,100,2.34,AU,1621392072
15,Avarua,-21.2078,-159.775,300.18,78,40,7.72,CK,1621392074
16,Luchenza,-16.0069,35.3095,287.2,94,34,1.77,MW,1621392075
17,Palma Soriano,20.2172,-75.9989,298.63,94,100,0.61,CU,1621392077
18,Bethel,41.3712,-73.414,292.55,67,1,2.06,US,1621391988
19,Luzon,6.519,126.0941,299.16,86,100,2.96,PH,1621392080
20,Rocha,-34.4833,-54.3333,281.13,91,37,2.01,UY,1621392084
21,Provideniya,64.3833,-173.3,273.21,93,75,6.0,RU,1621392085
22,Hithadhoo,-0.6,73.0833,301.9,67,1,2.13,MV,1621392087
23,Busselton,-33.65,115.3333,290.42,67,99,1.39,AU,1621392089
24,Tabivere,58.5542,26.5956,287.14,99,100,0.54,EE,1621392091
25,Atambua,-9.1061,124.8925,301.45,61,42,0.83,ID,1621392092
26,Khandyga,62.6667,135.6,281.82,26,10,4.47,RU,1621391967
27,Banda Aceh,5.5577,95.3222,302.4,69,99,4.77,ID,1621392088
28,Beisfjord,68.3751,17.5988,280.35,82,60,2.66,NO,1621392097
29,Nova Serrana,-19.8761,-44.9836,289.01,63,18,0.16,BR,1621392099
30,Praia,14.9215,-23.5087,298.45,50,0,8.23,CV,1621392101
31,Hobart,-42.8794,147.3294,289.07,68,75,2.24,AU,1621391954
32,Zhenjiang,32.2092,119.4342,295.26,60,100,0.89,CN,1621392104
33,Punta Arenas,-53.15,-70.9167,279.21,89,90,1.86,CL,1621392106
34,Puri,19.8,85.85,304.47,75,26,8.33,IN,1621392108
35,Barrow,71.2906,-156.7887,272.16,86,90,2.57,US,1621392109
36,Inverness,57.4791,-4.224,281.47,94,90,0.89,GB,1621392111
37,Saint-Philippe,-21.3585,55.7679,294.92,75,0,2.07,RE,1621392113
38,Norman Wells,65.282,-126.8329,283.17,43,75,1.03,CA,1621392115
39,Hong Kong,22.2855,114.1577,307.02,74,31,0.45,HK,1621391983
40,Clarksville,36.5298,-87.3595,295.14,76,90,4.34,US,1621391860
41,Valday,57.9747,33.2525,289.03,83,9,3.83,RU,1621392119
42,Kahului,20.8947,-156.47,301.16,54,40,10.8,US,1621391870
43,Bambous Virieux,-20.3428,57.7575,296.29,75,20,4.28,MU,1621392123
44,Chumikan,54.7183,135.315,282.17,55,29,7.02,RU,1621392124
45,Chokurdakh,70.6333,147.9167,273.29,100,98,4.23,RU,1621392126
46,Russell,32.3502,-85.1999,297.75,61,100,5.78,US,1621392128
47,Carnarvon,-24.8667,113.6333,297.19,50,0,4.63,AU,1621392130
48,Kapaa,22.0752,-159.319,301.14,69,1,1.79,US,1621392131
49,Poum,-20.2333,164.0167,297.69,71,100,4.2,NC,1621392133
50,Batticaloa,7.7102,81.6924,302.32,71,93,1.33,LK,1621392138
51,San Patricio,28.017,-97.5169,301.2,90,12,5.86,US,1621392140
52,Rio Branco,-9.9747,-67.81,295.49,70,0,1.17,BR,1621392141
53,Klaksvík,62.2266,-6.589,276.66,77,100,8.4,FO,1621392143
54,Cabo San Lucas,22.8909,-109.9124,300.82,64,1,7.72,MX,1621391851
55,Cairns,-16.9167,145.7667,302.1,67,75,7.72,AU,1621392146
56,Malakanagiri,18.35,81.9,305.9,51,24,1.53,IN,1621392148
57,Chifeng,42.2683,118.9636,301.67,16,2,4.47,CN,1621392002
58,Ribeira Grande,38.5167,-28.7,291.57,92,100,10.46,PT,1621392153
59,Sassandra,4.95,-6.0833,298.68,88,84,2.29,CI,1621392155
60,Ahipara,-35.1667,173.1667,290.61,67,8,6.64,NZ,1621392157
61,Hermanus,-34.4187,19.2345,286.43,60,2,1.55,ZA,1621392158
62,Jamestown,42.097,-79.2353,291.95,52,1,5.66,US,1621391882
63,Fare,-16.7,-151.0167,300.59,76,36,10.05,PF,1621392162
64,Yar-Sale,66.8333,70.8333,272.96,64,66,2.53,RU,1621392163
65,Necochea,-38.5473,-58.7368,280.39,81,100,3.12,AR,1621392165
66,Castro,-24.7911,-50.0119,282.4,65,0,0.81,BR,1621392168
67,Port Elizabeth,-33.918,25.5701,283.31,66,0,1.03,ZA,1621392146
68,Chui,-33.6971,-53.4616,282.34,86,4,2.28,UY,1621392173
69,Bluff,-46.6,168.3333,284.71,89,100,10.55,NZ,1621392175
70,Saint-Michel-des-Saints,46.6834,-73.9159,285.34,55,62,0.75,CA,1621392177
71,Sinazongwe,-17.2614,27.4618,291.93,59,0,1.61,ZM,1621392178
72,Sitka,57.0531,-135.33,284.09,71,20,8.23,US,1621391940
73,Burnie,-41.0667,145.9167,286.45,80,99,6.45,AU,1621392182
74,Herne Bay,51.373,1.1286,284.55,95,100,3.44,GB,1621392187
75,Hilo,19.7297,-155.09,299.0,73,20,4.63,US,1621392188
76,Ushuaia,-54.8,-68.3,280.96,93,90,0.51,AR,1621392190
77,Tudela,42.0617,-1.6045,286.08,74,88,5.56,ES,1621392192
78,Isangel,-19.55,169.2667,299.21,83,90,7.79,VU,1621392193
79,Yellowknife,62.456,-114.3525,275.44,44,75,1.34,CA,1621392183
80,San Miguel de Cozumel,20.5083,-86.9458,301.14,80,10,4.35,MX,1621392197
81,Husavik,66.0449,-17.3389,274.1,71,89,1.72,IS,1621392198
82,Pirojpur,22.5667,89.9833,307.13,52,98,5.51,BD,1621392200
83,Mataura,-46.1927,168.8643,284.53,97,100,3.64,NZ,1621392202
84,Kaeo,-35.1,173.7833,292.22,63,3,4.78,NZ,1621392204
85,Iqaluit,63.7506,-68.5145,267.0,68,75,7.72,CA,1621392205
86,Trairi,-3.2778,-39.2689,297.77,87,9,2.26,BR,1621391937
87,Mpigi,0.225,32.3136,291.02,92,100,1.63,UG,1621392209
88,Hobyo,5.3505,48.5268,299.66,79,42,8.26,SO,1621392212
89,Qaanaaq,77.484,-69.3632,274.37,92,100,4.24,GL,1621392214
90,Abū Zabad,12.35,29.25,300.84,56,81,3.25,SD,1621392215
91,Dakar,14.6937,-17.4441,296.64,83,36,1.13,SN,1621391504
92,Rome,43.2128,-75.4557,290.59,68,1,0.0,US,1621392219
93,Hasaki,35.7333,140.8333,291.37,95,100,2.01,JP,1621392221
94,Chabahar,25.2919,60.643,304.65,54,1,3.3,IR,1621392222
95,Buala,-8.145,159.5921,303.25,68,98,4.01,SB,1621392224
96,Worland,44.0169,-107.9554,299.86,40,1,0.89,US,1621392226
97,Bilibino,68.0546,166.4372,275.44,77,90,1.46,RU,1621392228
98,College,64.8569,-147.8028,290.14,33,75,3.6,US,1621392229
99,Upata,8.0086,-62.3989,296.34,82,10,3.03,VE,1621392231
100,Thompson,55.7435,-97.8558,273.24,93,90,7.2,CA,1621392233
101,Dingle,10.9995,122.6711,304.58,62,92,4.82,PH,1621392234
102,Erenhot,43.6475,111.9767,297.98,16,19,9.01,CN,1621392236
103,Kasongo-Lunda,-6.4667,16.8167,294.65,83,100,0.46,CD,1621392017
104,Pisco,-13.7,-76.2167,291.49,88,90,3.09,PE,1621392241
105,Neryungri,56.6709,124.6491,276.7,38,59,3.73,RU,1621392243
106,Mbanza-Ngungu,-5.25,14.8667,292.88,96,100,0.96,CD,1621392186
107,Toora-Khem,52.4675,96.11,282.06,93,100,0.98,RU,1621392246
108,São João da Barra,-21.6403,-41.0511,292.91,88,38,2.97,BR,1621392248
109,Cape Town,-33.9258,18.4232,286.55,66,0,3.56,ZA,1621391632
110,Tasiilaq,65.6145,-37.6368,268.24,77,4,1.35,GL,1621392253
111,Solhan,38.9634,41.0293,278.37,57,6,1.04,TR,1621392254
112,Mukhen,48.1,136.1,298.52,31,98,5.05,RU,1621392256
113,Daru,-9.0763,143.2092,300.46,88,99,8.02,PG,1621392258
114,Ketchikan,55.3422,-131.6461,289.41,39,1,4.63,US,1621392121
115,Ancud,-41.8697,-73.8203,284.39,69,100,5.26,CL,1621392261
116,Verāval,20.9,70.3667,301.79,73,100,4.81,IN,1621392263
117,Mareeba,-17.0,145.4333,300.62,57,31,3.73,AU,1621392265
118,Katsuura,35.1333,140.3,293.25,98,100,2.78,JP,1621392266
119,Flin Flon,54.7682,-101.865,281.57,94,94,6.29,CA,1621392268
120,Alofi,-19.0595,-169.9187,301.09,74,40,6.17,NU,1621392270
121,Narrabri,-30.3167,149.7833,294.55,45,0,2.57,AU,1621392272
122,Teknāf,20.8624,92.3058,304.76,64,100,1.67,BD,1621392273
123,Popondetta,-8.7537,148.2534,306.03,51,100,2.95,PG,1621392275
124,Sur,22.5667,59.5289,306.12,40,16,2.56,OM,1621392120
125,Victor Harbor,-35.5667,138.6167,291.2,54,100,6.64,AU,1621392278
126,Matata,-37.8833,176.75,291.0,65,70,6.5,NZ,1621392280
127,Petropavlovsk-Kamchatskiy,53.0452,158.6483,292.48,43,27,8.8,RU,1621392282
128,Sakakah,29.9697,40.2064,298.91,16,0,3.96,SA,1621392131
129,Baykit,61.67,96.37,275.63,49,80,2.4,RU,1621392285
130,Luganville,-15.5333,167.1667,298.85,88,99,4.82,VU,1621392287
131,Bongandanga,1.5,21.05,294.46,98,100,0.31,CD,1621392289
132,Ubari,26.5921,12.7805,300.02,14,9,6.52,LY,1621392290
133,Nikolskoye,59.7035,30.7861,288.09,92,99,3.12,RU,1621392294
134,Cidreira,-30.1811,-50.2056,285.62,78,0,2.86,BR,1621392295
135,Nioaque,-21.1353,-55.83,297.02,56,65,1.39,BR,1621392297
136,Kruisfontein,-34.0033,24.7314,289.21,34,5,4.27,ZA,1621392299
137,Hailun,47.45,126.9333,295.56,35,68,1.83,CN,1621392301
138,Ahtopol,42.1,27.95,285.41,70,1,3.29,BG,1621392303
139,Bengkulu,-3.8004,102.2655,301.69,67,60,0.4,ID,1621392132
140,Bredasdorp,-34.5322,20.0403,280.77,71,11,1.34,ZA,1621392307
141,Plaster Rock,46.9065,-67.39,286.44,72,4,1.49,CA,1621392310
142,São Filipe,14.8961,-24.4956,297.46,68,100,5.15,CV,1621392312
143,Te Anau,-45.4167,167.7167,283.27,94,100,1.23,NZ,1621392314
144,Sinnamary,5.3833,-52.95,298.2,89,20,4.03,GF,1621392315
145,Talnakh,69.4865,88.3972,268.31,75,79,3.99,RU,1621392317
146,Geraldton,-28.7667,114.6,297.38,67,0,2.87,AU,1621392319
147,Kavieng,-2.5744,150.7967,302.66,69,100,2.64,PG,1621392321
